"Type","Title","Url","Created","Status"
"SiteCollection","TestSite 1","https://m365x22747677.sharepoint.com/sites/TestSite1","9/16/2025 4:27:23 PM","Success"
"SubSite","Subsite 1","https://m365x22747677.sharepoint.com/sites/TestSite1/subsite1","9/16/2025 4:27:33 PM","Success"
