"Type","Title","Url","Created","Status"
"SiteCollection","TestClean 1","https://m365x22747677.sharepoint.com/sites/TestClean1","9/16/2025 4:31:05 PM","Success"
"SubSite","Subsite 1","https://m365x22747677.sharepoint.com/sites/TestClean1/subsite1","9/16/2025 4:31:10 PM","Success"
